name	species	division	taxonomy_id	assembly	assembly_accession	genebuild	ncbi_species	family	order	class	superclass	subphylum	phylum
Aphanomyces astaci	aphanomyces_astaci	EnsemblFungi	112090	GCA000520075v1	GCA_000520075.1	2014-01-14	Aphanomyces astaci	Saprolegniaceae	Saprolegniales	NA	NA	NA	Oomycota
Aphanomyces invadans	aphanomyces_invadans	EnsemblFungi	157072	GCA000520115v1	GCA_000520115.1	2014-01-15	Aphanomyces invadans	Saprolegniaceae	Saprolegniales	NA	NA	NA	Oomycota
Ashbya gossypii	ashbya_gossypii	EnsemblFungi	284811	ASM9102v1	GCA_000091025.3	2010-10-AGD	Eremothecium gossypii	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	NA	Saccharomycotina	Ascomycota
Aspergillus clavatus NRRL 1	aspergillus_clavatus	EnsemblFungi	344612	ASM271v1	GCA_000002715.1	2008-11-ENA	Aspergillus clavatus	Aspergillaceae	Eurotiales	Eurotiomycetes	NA	Pezizomycotina	Ascomycota
Aspergillus flavus NRRL3357	aspergillus_flavus	EnsemblFungi	332952	JCVI-afl1-v2.0	GCA_000006275.2	2015-06-ENA	Aspergillus flavus	Aspergillaceae	Eurotiales	Eurotiomycetes	NA	Pezizomycotina	Ascomycota
Aspergillus fumigatus Af293	aspergillus_fumigatus	EnsemblFungi	330879	ASM265v1	GCA_000002655.1	2007-04-ENA	Aspergillus fumigatus	Aspergillaceae	Eurotiales	Eurotiomycetes	NA	Pezizomycotina	Ascomycota
Aspergillus fumigatus A1163	aspergillus_fumigatusa1163	EnsemblFungi	451804	ASM15014v1	GCA_000150145.1	2009-06-ENA	Aspergillus fumigatus	Aspergillaceae	Eurotiales	Eurotiomycetes	NA	Pezizomycotina	Ascomycota
Aspergillus nidulans	aspergillus_nidulans	EnsemblFungi	227321	ASM1142v1	GCA_000011425.1	2015-02-ENA	Aspergillus nidulans	Aspergillaceae	Eurotiales	Eurotiomycetes	NA	Pezizomycotina	Ascomycota
Aspergillus niger	aspergillus_niger	EnsemblFungi	5061	ASM285v2	GCA_000002855.2	2015-03-ENA	Aspergillus niger	Aspergillaceae	Eurotiales	Eurotiomycetes	NA	Pezizomycotina	Ascomycota
Aspergillus oryzae RIB40	aspergillus_oryzae	EnsemblFungi	510516	ASM18445v3	GCA_000184455.3	2016-12-ENA	Aspergillus oryzae	Aspergillaceae	Eurotiales	Eurotiomycetes	NA	Pezizomycotina	Ascomycota
